PATIENT;CHV
coup;n
peine;n
corps;o
impression;n
chances;n
taille;n
écho;o
anapath;o
cellules cancéreuses;o
impatientes;n
retour;n
radio;o
questions;n
soins;o
enfants;n
compte;n
femme;n
tumeurs;o
problème;n
soucis;o
endroit;n
hôpital;o
copines;n
peur;o
charge;n
avis;n
suite;n
bout;n
période;n
idée;n
départ;n
avenir;n
envie;n
fond;n
impatiente;n
personnes;n
hormono;o
nodules;o
personne;n
demande;n
monde;n
psy;o
curage;o
examen;o
réconfort;n
santé;o
séance;o
examens;o
partie;n
temps en temps;n
proches;n
mesure;n
solution;n
médecins;o
cas;n
crabe;o
angoisses;o
choix;n
gynéco;o
sein gauche;o
entourage;n
force;n
doigts;o
lieu;n
bonne soirée;n
cancer du sein;o
réponse;n
droit;n
vacances;n
sport;n
rendez-vous;n
métas;o
étape;n
bonne;n
bien;n
effets;o
chemin;n
irm;o
reconstruction;o
internet;n
chaleur;n
femmes;n
cause;n
amitié;n
médecin;o
expérience;n
pose;n
effet;o
contrôles;o
pensées;n
nilou;n
prise en charge;n
pensées positives;n
poumons;o
témoignages;n
in situ;o
genre;n
exemple;n
analyses;o
ganglion sentinelle;o
aide;n
seins;o
opération;o
inquiétudes;o
choc;n
forme;n
rayons;o
métastases;o
gens;n
traitements;o
ondes;n
marche;n
cures;o
façon;n
nouvelles;n
reste;n
résultat;n
hopital;o
esprit;n
côté;n
mail;n
vie;n
patience;n
choses;n
belle;n
echo;o
trouille;o
attente;n
moral;n
rapport;n
besoin;n
traitement;o
plaisir;n
post;n
ganglions;o
intervention;o
service;n
surement;n
cicatrice;o
question;n
mari;n
épreuve;n
soutien;n
consultation;o
mamo;o
réponses;n
généraliste;o
maman;n
type;n
annonce;n
ondes positives;n
taxotère;o
conseil;n
doute;n
histoire;n
travail;n
décision;n
analyse;o
stress;o
peau;o
part;n
larmes;n
cheveux;o
perte;n
chimio;o
infos;n
cellules;o
eau;o
sein droit;o
méta;o
produit;n
résultats;o
problèmes;n
plein;n
rdv;n
dossier;n
maux;o
confiance;n
air;n
amie;n
reconstruction immédiate;o
cancers;o
sens;n
attention;n
situation;n
séances;o
écoute;n
fils;n
âge;n
raison;n
chir;o
cerveau;o
repos;n
soin;o
medecin;o
site;n
risque;n
ablation du sein;o
boule;o
mots;n
ventre;o
point;n
soeur;n
amour;n
fiche;n
infirmière;o
marqueurs;o
scinti;o
cours;n
courant;n
soleil;n
kiné;o
crabus;o
colère;n
maison;n
kyste;o
prise de sang;o
forces;n
big;n
place;n
prise;n
parcours;n
herceptine;o
combat;n
inquiétude;n
arrêt;n
tête;o
sinon;n
tamoxifène;o
visite;n
gros;n
marie;n
mère;n
mal;o
avance;n
maladie;o
urgence;o
niveau;n
doc;o
poches;n
conseils;n
face;n
fille;n
contrôle;o
onco;o
chimios;o
bonne journée;n
mammo;o
sentinelle;n
amis;n
